id,condition,stage,gold,logged_raw_output,prediction,old_correct,recalculated_correct,scoring_error,logged_model_field
neg_01,A_english_natural,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive
neg_01,B_cherokee_natural,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
neg_01,D_oracle_symbolic,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive
neg_02,A_english_natural,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive
neg_02,B_cherokee_natural,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
neg_02,D_oracle_symbolic,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive
neg_03,A_english_natural,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive
neg_03,B_cherokee_natural,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
neg_03,D_oracle_symbolic,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive
neg_04,A_english_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
neg_04,B_cherokee_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
neg_04,D_oracle_symbolic,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
neg_05,A_english_natural,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive
neg_05,B_cherokee_natural,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive-subagent-blind (agentId a15141d7b04eefcfa)
neg_05,D_oracle_symbolic,logic_pilot,contradicted,contradicted,contradicted,True,True,False,claude-sonnet-5-interactive
cond_01,A_english_natural,logic_pilot,entailed,entailed,entailed,True,True,False,claude-sonnet-5-interactive
