id,reasoning_type,gold_label,A_english_correct,B_cherokee_correct,C_cherokee_parse_correct,C_cherokee_parse_structural_match,D_oracle_symbolic_correct
neg_01,negation,contradicted,True,True,False,True,True
neg_02,negation,contradicted,True,True,False,True,True
neg_03,negation,contradicted,True,True,False,True,True
neg_04,negation,entailed,True,True,False,True,True
neg_05,negation,contradicted,True,True,False,True,True
cond_01,conditional,entailed,True,True,False,True,True
cond_02,conditional,entailed,True,True,False,True,True
cond_03,conditional,unknown,True,True,False,True,True
cond_04,conditional,contradicted,True,False,False,False,True
cond_05,conditional,unknown,True,True,False,True,True
quant_01,quantifier,entailed,True,True,False,True,True
quant_02,quantifier,contradicted,True,True,False,True,True
quant_03,quantifier,entailed,True,True,False,True,True
quant_04,quantifier,unknown,True,True,False,True,True
quant_05,quantifier,entailed,True,True,False,True,True
spat_01,spatial,entailed,True,True,False,True,True
spat_02,spatial,entailed,True,True,False,True,True
spat_03,spatial,entailed,True,True,False,True,True
spat_04,spatial,contradicted,True,True,False,True,True
spat_05,spatial,contradicted,True,True,False,True,True
