id,reasoning_type,a_priori_translator_confidence,negation_preserved,conditional_preserved,quantifier_scope_preserved,entities_preserved,predicates_preserved,final_confidence_rating,reason,revised_from_a_priori
neg_01,negation,low,True,n/a,n/a,"partial (Liam->Lavim, recognizable)",wrong (at-school -> reads),Medium,"Negation structure exact and name phonetically recognizable, but the core predicate (being at school) was not conveyed -- the reader inferred an unrelated action (reading).",False
neg_02,negation,low,True,n/a,n/a,no (door not recognizable as the referent),wrong (open -> on_fire),Low,Only the negation marker came through; neither the entity (door) nor the predicate (open) was recovered by an independent reader.,False
neg_03,negation,low,True,n/a,n/a,"partial (Nina->Nine, recognizable; bicycle->generic vehicle/possession)",wrong (owns -> high),Medium,Name and general 'possessed object' concept partially came through; the specific predicate (ownership) and object (bicycle) did not.,False
neg_04,negation,very low (double negation is exactly where I'm least confident in Cherokee morphology),True,n/a,n/a,no,wrong (light-on -> digs),Medium,"REVISED UP from the a-priori 'very low' rating: the double-negation structure -- the hardest grammatical feature in this whole set -- was reconstructed exactly by a blind reader, even though the content words were not. Structure survived better than expected; content did not.",True
neg_05,negation,very low; name transliteration + verb morphology both uncertain. (Note: an earlier draft of this item briefly contained a stray corrupted character and English words that leaked in during generation -- caught and fixed before this file was used for anything downstream.),True,n/a,n/a,"partial (Daniel->Danyili, recognizable)",wrong (lost-key -> wanted_quickly),Medium,"Name recognizable and negation exact; this item also had a stray corrupted character caught and fixed during Week 2 review, which may have degraded translation quality further before the fix.",False
cond_01,conditional,low,n/a,True,n/a,"partial (Emma->Ema, School recognized)",adjacent (studies/passes -> starts-school/understands),Medium,"Modus ponens shape exact, name recognizable, and both substituted predicates are thematically close to the originals (school-starting for studying, understanding for passing) rather than unrelated.",False
cond_02,conditional,low,n/a,True,n/a,partial (Mia->Maya recognizable; alarm->Hunter not recognizable),adjacent (leaves-building -> runs-home is close; rings->hunts is not),Medium,Conditional shape exact and one entity/predicate pair recognizable; the alarm/rings pair was lost entirely.,False
cond_03,conditional,low,n/a,True,n/a,partial (Noah->Nowa recognizable),"adjacent (exercise/tired -> did-it/works-hard, thematically close)",Medium,The exact fallacy shape (affirming the consequent) was independently reconstructed by the blind reader and correctly classified as unknown -- the argument's logical form survived even though the specific predicates drifted to an adjacent theme.,False
cond_04,conditional,"very low; 'noon/before noon' and the bus-vehicle concept are outside my confident Cherokee vocabulary, this is close to gloss-level guessing","FAILED -- premise 2 parsed as affirmative, gold has it negated",structure present but polarity broken,n/a,no (Ava->Ewi not recognizable),wrong,Low,"The one genuine translation failure in the set. I had independently flagged this item 'very low confidence, close to gloss-level guessing' before any grading occurred; the blind parse confirms it -- the negation on the second premise was lost, turning a valid modus-tollens argument into a different (and differently-classified) pattern. This is also the only item where both Condition B and Condition C failed.",True
cond_05,conditional,very low; 'button' and 'machine' are modern-technology vocabulary I don't have confident Cherokee terms for,True,True,n/a,partial (Leo->Liyo recognizable),adjacent (button/machine -> plants/grows -- wrong domain but internally coherent),Medium,"This item has the most complex negation pattern in the set (negated second premise AND negated query, denying-the-antecedent shape) and BOTH negations were correctly reconstructed -- the strongest structural result among the conditional items, despite the predicates drifting to an unrelated (but self-consistent) planting/growing theme.",False
quant_01,quantifier,low,n/a,n/a,True,exact (Maria),wrong (painter/artist -> swimmer/writer),Medium,Universal-instantiation structure exact and the proper name exactly preserved; both occupation predicates were lost.,False
quant_02,quantifier,low,n/a,n/a,True,no (Felix->Pilgisi not recognizable),"wrong but notably confused, not random (cat/reptile -> dog/cat -- the reader's own 'cat' guess for the wrong slot suggests real but misplaced animal-vocabulary recognition)",Medium,"Universal-negative structure with correctly-placed negation preserved; predicate confusion is patterned (animal-category vocabulary was recognized as such, just assigned to the wrong slot) rather than arbitrary.",False
quant_03,quantifier,"very low; quantifier words ('all', 'some') plus abstract nouns like 'employee'/'musician' compound the uncertainty",n/a,n/a,True,n/a (no proper names in this item),"exact + adjacent (teacher exact; employee/musician -> hard_worker/singer, both close synonyms)",High,"The best-preserved quantifier item: exact universal+existential-conjunction structure, one predicate name literally exact, and the other two are close paraphrases rather than wrong-domain guesses.",False
quant_04,quantifier,very low,n/a,n/a,True,n/a,"wrong domain, one adjacent (student/athlete -> runner/hunter wrong; musician->singer adjacent)",Medium,"The subtle shared-subject-class existential pattern that makes this item's gold answer 'unknown' (undistributed middle) was exactly reconstructed, which matters more for this item than predicate accuracy.",False
quant_05,quantifier,low,n/a,n/a,True,n/a,"exact x2 (doctor, writer both exact; pilot->thief wrong but consistent throughout)",High,"Tied for best-preserved item overall: full structure including negation placement in both premise and query, plus two of three predicates literally exact.",False
spat_01,spatial,low; spatial relation vocabulary ('left of') is uncertain,n/a,n/a,n/a,weak,"wrong (left_of -> near, loses directionality entirely)",Low,"The transitive chain structure survived, but the specific spatial relation this item exists to test -- a directional, asymmetric relation -- was flattened into a generic symmetric 'near', which changes the item's actual logical content, not just its wording.",False
spat_02,spatial,low-medium; 'ᏧᏴᏢ' (north) is a word I'm more confident about than most,n/a,n/a,n/a,"exact x3 (Mia->Maya, Noah->Nowa, Liam->Lavim, all recognizable)",exact (north_of),High,"The best-translated item in the entire set: exact relation word, all three names independently recognizable, exact transitivity structure.",False
spat_03,spatial,very low,n/a,n/a,n/a,weak (chair/desk not recognizable as specific objects),"exact (behind, front)",High,"Both relation words came through exactly, AND the converse-relation logic (behind(X,Y) entails front(Y,X)) was independently re-derived by the blind reader without it being stated -- strong evidence the relational meaning, not just the words, was conveyed, even though the specific furniture nouns were not.",False
