id,language,language_name,model,temperature,parsed_answer,gold_answer,correct
mgsm_001,en,English,claude-sonnet-5-interactive,,3,3,True
mgsm_001,fr,French,claude-sonnet-5-interactive,,3,3,True
mgsm_001,sw,Swahili,claude-sonnet-5-interactive,,3,3,True
mgsm_006,en,English,claude-sonnet-5-interactive,,260,260,True
mgsm_006,fr,French,claude-sonnet-5-interactive,,260,260,True
mgsm_006,sw,Swahili,claude-sonnet-5-interactive,,260,260,True
mgsm_007,en,English,claude-sonnet-5-interactive,,160,160,True
mgsm_007,fr,French,claude-sonnet-5-interactive,,160,160,True
mgsm_007,sw,Swahili,claude-sonnet-5-interactive,,160,160,True
mgsm_008,en,English,claude-sonnet-5-interactive,,45,45,True
mgsm_008,fr,French,claude-sonnet-5-interactive,,45,45,True
mgsm_008,sw,Swahili,claude-sonnet-5-interactive,,45,45,True
mgsm_022,en,English,claude-sonnet-5-interactive,,7,7,True
mgsm_022,fr,French,claude-sonnet-5-interactive,,7,7,True
mgsm_022,sw,Swahili,claude-sonnet-5-interactive,,7,7,True
mgsm_023,en,English,claude-sonnet-5-interactive,,8,8,True
mgsm_023,fr,French,claude-sonnet-5-interactive,,8,8,True
mgsm_023,sw,Swahili,claude-sonnet-5-interactive,,8,8,True
mgsm_026,en,English,claude-sonnet-5-interactive,,243,243,True
mgsm_026,fr,French,claude-sonnet-5-interactive,,243,243,True
mgsm_026,sw,Swahili,claude-sonnet-5-interactive,,243,243,True
mgsm_028,en,English,claude-sonnet-5-interactive,,25,25,True
mgsm_028,fr,French,claude-sonnet-5-interactive,,25,25,True
mgsm_028,sw,Swahili,claude-sonnet-5-interactive,,25,25,True
mgsm_035,en,English,claude-sonnet-5-interactive,,9,9,True
mgsm_035,fr,French,claude-sonnet-5-interactive,,9,9,True
mgsm_035,sw,Swahili,claude-sonnet-5-interactive,,9,9,True
mgsm_050,en,English,claude-sonnet-5-interactive,,294,294,True
mgsm_050,fr,French,claude-sonnet-5-interactive,,294,294,True
mgsm_050,sw,Swahili,claude-sonnet-5-interactive,,294,294,True
