id,language,language_name,batch,model,parsed_answer,gold_answer,correct
mgsm_057,en,English,week3_harder,claude-sonnet-5-interactive,83,83,True
mgsm_057,sw,Swahili,week3_harder,claude-sonnet-5-interactive,83,83,True
mgsm_062,en,English,week3_harder,claude-sonnet-5-interactive,25000,25000,True
mgsm_062,sw,Swahili,week3_harder,claude-sonnet-5-interactive,25000,25000,True
mgsm_070,en,English,week3_harder,claude-sonnet-5-interactive,7425,7425,True
mgsm_070,sw,Swahili,week3_harder,claude-sonnet-5-interactive,7425,7425,True
mgsm_107,en,English,week3_harder,claude-sonnet-5-interactive,3,3,True
mgsm_107,sw,Swahili,week3_harder,claude-sonnet-5-interactive,3,3,True
mgsm_108,en,English,week3_harder,claude-sonnet-5-interactive,50,50,True
mgsm_108,sw,Swahili,week3_harder,claude-sonnet-5-interactive,50,50,True
mgsm_114,en,English,week3_harder,claude-sonnet-5-interactive,6,6,True
mgsm_114,sw,Swahili,week3_harder,claude-sonnet-5-interactive,6,6,True
mgsm_129,en,English,week3_harder,claude-sonnet-5-interactive,10000,10000,True
mgsm_129,sw,Swahili,week3_harder,claude-sonnet-5-interactive,10000,10000,True
mgsm_139,en,English,week3_harder,claude-sonnet-5-interactive,70,70,True
mgsm_139,sw,Swahili,week3_harder,claude-sonnet-5-interactive,70,70,True
mgsm_143,en,English,week3_harder,claude-sonnet-5-interactive,16,16,True
mgsm_143,sw,Swahili,week3_harder,claude-sonnet-5-interactive,16,16,True
mgsm_150,en,English,week3_harder,claude-sonnet-5-interactive,4,4,True
mgsm_150,sw,Swahili,week3_harder,claude-sonnet-5-interactive,4,4,True
mgsm_151,en,English,week3_harder,claude-sonnet-5-interactive,5,5,True
mgsm_151,sw,Swahili,week3_harder,claude-sonnet-5-interactive,5,5,True
mgsm_154,en,English,week3_harder,claude-sonnet-5-interactive,272,272,True
mgsm_154,sw,Swahili,week3_harder,claude-sonnet-5-interactive,272,272,True
mgsm_163,en,English,week3_harder,claude-sonnet-5-interactive,50,50,True
mgsm_163,sw,Swahili,week3_harder,claude-sonnet-5-interactive,50,50,True
mgsm_166,en,English,week3_harder,claude-sonnet-5-interactive,5,5,True
mgsm_166,sw,Swahili,week3_harder,claude-sonnet-5-interactive,5,5,True
mgsm_173,en,English,week3_harder,claude-sonnet-5-interactive,18000,18000,True
mgsm_173,sw,Swahili,week3_harder,claude-sonnet-5-interactive,18000,18000,True
mgsm_183,en,English,week3_harder,claude-sonnet-5-interactive,2,2,True
mgsm_183,sw,Swahili,week3_harder,claude-sonnet-5-interactive,2,2,True
mgsm_188,en,English,week3_harder,claude-sonnet-5-interactive,50,50,True
mgsm_188,sw,Swahili,week3_harder,claude-sonnet-5-interactive,50,50,True
mgsm_189,en,English,week3_harder,claude-sonnet-5-interactive,34,34,True
mgsm_189,sw,Swahili,week3_harder,claude-sonnet-5-interactive,34,34,True
mgsm_206,en,English,week3_harder,claude-sonnet-5-interactive,860,860,True
mgsm_206,sw,Swahili,week3_harder,claude-sonnet-5-interactive,860,860,True
mgsm_236,en,English,week3_harder,claude-sonnet-5-interactive,31,31,True
mgsm_236,sw,Swahili,week3_harder,claude-sonnet-5-interactive,31,31,True
