question_id,en,es,ja
mgsm_trilingual_001,True,True,True
mgsm_trilingual_006,True,True,True
mgsm_trilingual_007,True,True,True
mgsm_trilingual_008,True,True,True
mgsm_trilingual_022,True,True,True
mgsm_trilingual_023,True,True,True
mgsm_trilingual_026,True,True,True
mgsm_trilingual_028,True,True,True
mgsm_trilingual_035,True,True,True
mgsm_trilingual_039,True,True,False
mgsm_trilingual_040,True,True,True
mgsm_trilingual_050,True,True,True
mgsm_trilingual_055,True,True,True
mgsm_trilingual_056,True,True,True
mgsm_trilingual_057,True,True,True
mgsm_trilingual_059,True,True,True
mgsm_trilingual_062,True,True,True
mgsm_trilingual_070,True,True,True
mgsm_trilingual_071,True,True,True
mgsm_trilingual_086,True,False,True
mgsm_trilingual_087,True,True,True
mgsm_trilingual_107,True,True,True
mgsm_trilingual_108,True,True,True
mgsm_trilingual_114,True,True,True
mgsm_trilingual_129,True,True,True
mgsm_trilingual_139,True,True,False
mgsm_trilingual_143,True,True,True
mgsm_trilingual_150,True,True,True
mgsm_trilingual_151,True,True,True
mgsm_trilingual_154,True,True,True
mgsm_trilingual_163,True,True,True
mgsm_trilingual_166,True,True,True
mgsm_trilingual_173,True,True,True
mgsm_trilingual_178,True,True,True
mgsm_trilingual_179,True,True,True
mgsm_trilingual_183,True,True,True
mgsm_trilingual_188,True,True,True
mgsm_trilingual_189,True,True,True
mgsm_trilingual_194,True,True,True
mgsm_trilingual_195,True,True,True
mgsm_trilingual_206,True,True,True
mgsm_trilingual_207,True,True,True
mgsm_trilingual_214,True,False,True
mgsm_trilingual_228,True,True,True
mgsm_trilingual_229,True,True,True
mgsm_trilingual_233,True,True,True
mgsm_trilingual_236,True,True,True
mgsm_trilingual_240,True,True,True
mgsm_trilingual_246,True,True,True
mgsm_trilingual_247,True,True,True
