id,reasoning_type,gold_label,A_english_correct,B_cherokee_direct_correct,C_v2_cherokee_to_english_correct,D_oracle_symbolic_correct,error_attribution
neg_01,negation,contradicted,True,True,True,True,
neg_02,negation,contradicted,True,True,True,True,
neg_03,negation,contradicted,True,True,False,True,"language/semantic-recovery bottleneck, specific to the explicit-translation method (A correct, D correct, B correct, only C_v2 wrong -- direct Cherokee reasoning got this right but writing out an explicit English translation introduced a predicate error not present in the direct condition)"
neg_04,negation,entailed,True,True,True,True,
neg_05,negation,contradicted,True,True,True,True,
cond_01,conditional,entailed,True,True,True,True,
cond_02,conditional,entailed,True,True,True,True,
cond_03,conditional,unknown,True,True,True,True,
cond_04,conditional,contradicted,True,False,False,True,"language/semantic-recovery bottleneck (A correct, D correct, B AND C both wrong -- fails in every Cherokee-involving condition; traced to a dropped negation on the second premise, independently self-flagged as lowest-confidence before any grading)"
cond_05,conditional,unknown,True,True,True,True,
quant_01,quantifier,entailed,True,True,True,True,
quant_02,quantifier,contradicted,True,True,True,True,
quant_03,quantifier,entailed,True,True,True,True,
quant_04,quantifier,unknown,True,True,True,True,
quant_05,quantifier,entailed,True,True,True,True,
spat_01,spatial,entailed,True,True,False,True,"language/semantic-recovery bottleneck (A correct, D correct, B correct, only C_v2 wrong -- the underlying translation conflates a directional relation (left_of) with a symmetric one (near); reasoning over the explicit 'near' translation correctly refuses to assume transitivity, which is right for 'near' but wrong because 'near' was never the intended relation)"
spat_02,spatial,entailed,True,True,True,True,
spat_03,spatial,entailed,True,True,True,True,
spat_04,spatial,contradicted,True,True,True,True,
spat_05,spatial,contradicted,True,True,True,True,
