id,reasoning_type,subtype,english_original,cherokee_text,gold_label,A_raw_output,A_prediction,A_parse_method,A_correct,B_raw_output,B_prediction,B_parse_method,B_correct,C_raw_output,C_prediction,C_parse_method,C_correct,D_raw_output,D_prediction,D_parse_method,D_correct,C_translation,api_errors,flag_negation_changed,negation_markers_source_vs_backtranslation,flag_conditional_changed,conditional_markers_source_vs_backtranslation,flag_quantifier_changed,quantifier_markers_source_vs_backtranslation,flag_relation_changed,relation_markers_source_vs_backtranslation,flag_entities_changed,entities_source,entities_backtranslation,error_type_auto,error_type_auto_reason,error_type,error_type_source,error_note,back_translation_fidelity,back_translation_fidelity_note
neg_01,negation,simple_negation,Liam is not at school. [Query] Liam is at school.,ᎳᎥᎻ ᎥᏝ ᏗᎦᎳᏫᎢᏍᏗᏱ ᏱᎡᏙᎭ. ᎳᎥᎻ ᏗᎦᎳᏫᎢᏍᏗᏱ ᎡᎭ.,contradicted,contradicted,contradicted,exact,True,contradicted,contradicted,exact,True,contradicted,contradicted,exact,True,contradicted,contradicted,exact,True,Lavmi is not at the airport. Lavmi is at the airport.,,False,1 vs 1,False,0 vs 0,False,0 vs 0,False,0 vs 0,True,Liam,Lavmi,none,,none,auto rule,,skeleton_only,"Liam->Lavmi, school->airport; negation and repeated predicate intact"
neg_02,negation,simple_negation,The door is not open. [Query] The door is open.,ᎠᏍᏓᏱ ᎥᏝ ᎠᏥᎸᏔᏅ. ᎠᏍᏓᏱ ᎠᏥᎸᏔᏅ.,contradicted,contradicted,contradicted,exact,True,contradicted,contradicted,exact,True,contradicted,contradicted,exact,True,contradicted,contradicted,exact,True,The bridge did not burn. The bridge burned.,,False,1 vs 1,False,0 vs 0,False,0 vs 0,False,0 vs 0,False,,,none,,none,auto rule,,skeleton_only,door open -> bridge burned
neg_03,negation,simple_negation,Nina does not own a bicycle. [Query] Nina owns a bicycle.,ᏂᏁ ᎥᏝ ᏧᏤᎵ ᏔᎵᏬᏳᎵ ᎦᎸᎳᏗ. ᏂᏁ ᎤᏤᎵ ᏔᎵᏬᏳᎵ.,contradicted,contradicted,contradicted,exact,True,contradicted,contradicted,exact,True,unknown,unknown,exact,False,contradicted,contradicted,exact,True,This is not their heavenly home. It is his home.,,False,1 vs 1,False,0 vs 0,False,0 vs 0,False,0 vs 0,True,Nina,This,translation,A and D correct; the back-translation changed logical markers or entities,translation,manual override,"A, B, D correct; only the explicit back-translation failed. The model rendered the Cherokee as 'This is not their heavenly home. It is his home.', which has no connection to 'Nina does not own a bicycle'. B was still correct, most likely from surface structure (a negated statement followed by the same statement asserted), not from recovered meaning. Re-sampling (results/cherokee_pilot_v2_stability.csv): C was wrong in 1 of 3 fresh runs, and every fresh back-translation was again unrelated text ('his twins in heaven'), so the outcome is unstable: the label is reached, or missed, from structure alone.",broken,unrelated statements
neg_04,negation,double_negation_elimination,It is not true that the light is not on. [Query] The light is on.,ᎥᏝ ᏚᏳᎪᏛ ᏱᎩ ᎾᏍᎩ ᎠᏨᏍᏗ ᎥᏝ ᏱᎠᎪᎵ. ᎠᏨᏍᏗ ᎠᎪᎵ.,entailed,entailed,entailed,exact,True,entailed,entailed,exact,True,entailed,entailed,exact,True,entailed,entailed,exact,True,It is not true that he cannot do it. He can do it.,,False,2 vs 2,False,0 vs 0,False,0 vs 0,False,0 vs 0,True,,He,none,,none,auto rule,,skeleton_only,double negation preserved exactly; the content ('he can do it') is not the light being on
neg_05,negation,simple_negation,Daniel did not lose the key. [Query] Daniel lost the key.,ᏓᏂᏱᎵ ᎥᏝ ᏳᏲᏎᎢ ᎠᏍᏓᏳᏍᏗ. ᏓᏂᏱᎵ ᎤᏲᏎ ᎠᏍᏓᏳᏍᏗ.,contradicted,contradicted,contradicted,exact,True,contradicted,contradicted,exact,True,contradicted,contradicted,exact,True,contradicted,contradicted,exact,True,Daniel did not say it would be hard. Daniel said it would be hard.,,False,1 vs 1,False,0 vs 0,False,0 vs 0,False,0 vs 0,False,Daniel,Daniel,none,,none,auto rule,,skeleton_only,Daniel kept; lost the key -> said it would be hard
cond_01,conditional,modus_ponens,"If Emma studies, she passes the exam. Emma studies. [Query] Emma passes the exam.","ᎢᏳᏃ ᎡᎹ ᎠᎴᏅᏗᏍᎨᏍᏗ ᎠᏕᎶᏆᏍᏗ, ᎠᎦᏛᎦ. ᎡᎹ ᎠᎴᏅᏗᏍᎦ ᎠᏕᎶᏆᏍᏗ. ᎡᎹ ᎠᎦᏛᎦ.",entailed,entailed,entailed,exact,True,entailed,entailed,exact,True,entailed,entailed,exact,True,entailed,entailed,exact,True,"If Emma begins to learn, she understands. Emma begins to learn. Emma understands.",,False,0 vs 0,False,1 vs 1,False,0 vs 0,False,0 vs 0,False,Emma,Emma,none,,none,auto rule,,close,"studies->begins to learn, passes the exam->understands; modus ponens intact"
cond_02,conditional,modus_ponens,"If the alarm rings, Mia leaves the building. The alarm rings. [Query] Mia leaves the building.","ᎢᏳᏃ ᎠᏨᏔᏍᏗ ᎠᏨᏔᏍᎨᏍᏗ, ᎹᏯ ᎠᏓᏅᏍᎪᎢ ᎠᏓᏁᎸᎢ. ᎠᏨᏔᏍᏗ ᎠᏨᏔᏍᎦ. ᎹᏯ ᎠᏓᏅᏍᎪᎢ.",entailed,entailed,entailed,exact,True,entailed,entailed,exact,True,entailed,entailed,exact,True,entailed,entailed,exact,True,"If there is danger, Maya hides in the house. There is danger. Maya hides.",,False,0 vs 0,False,1 vs 1,False,0 vs 0,False,0 vs 0,True,Mia,"Maya,There",none,,none,auto rule,,skeleton_only,alarm/leaves building -> danger/hides in the house
cond_03,conditional,affirming_the_consequent_fallacy,"If Noah exercises, he feels tired. Noah feels tired. [Query] Noah exercised.","ᎢᏳᏃ ᏃᏩ ᎠᏛᏁᎮᏍᏗ ᎤᏰᎸᎦ, ᎤᏤᎳᎩ ᎠᏓᏅᏓᏗᏍᎦ. ᏃᏩ ᎤᏤᎳᎩ ᎠᏓᏅᏓᏗᏍᎦ. ᏃᏩ ᎤᏛᏁᎸ.",unknown,unknown,unknown,exact,True,unknown,unknown,exact,True,unknown,unknown,exact,True,unknown,unknown,exact,True,"If Noah exercises, he breathes heavily. Noah breathes heavily. Noah exercised.",,False,0 vs 0,False,1 vs 1,False,0 vs 0,False,0 vs 0,False,Noah,Noah,none,,none,auto rule,,close,Noah kept; tired -> breathes heavily; affirming-the-consequent shape intact
cond_04,conditional,modus_tollens,"If Ava takes the bus, she arrives before noon. Ava does not arrive before noon. [Query] Ava took the bus.","ᎢᏳᏃ ᎡᏫ ᎤᎩᏍᏗᏍᎨᏍᏗ ᎤᏂᎦᏘᏂᎨ ᏥᏔᎢᏎᎯ, ᏄᏬᎾᏓᏂᏒᎾ ᎡᏆᎾᎭᎢᏳᏍᏗ ᏗᎳᏏᏗᏍᎬᎾ ᎢᎦ. ᎡᏫ ᎥᏝ ᏳᏓᎷᏨ ᎦᏳᎳᎨ ᎢᎦ. ᎡᏫ ᎤᎩᏍᏗᏍᎩ.",contradicted,contradicted,contradicted,exact,True,unknown,unknown,exact,False,entailed,entailed,exact,False,contradicted,contradicted,exact,True,"Whenever Ewi was about to eat those watching nearby, he approached unnoticed and in complete silence, it is said. Ewi had not appeared for a long time, it is said. Ewi was a man-eater.",,False,1 vs 1,False,1 vs 1,False,0 vs 0,False,0 vs 0,True,Ava,"Ewi,Whenever",translation,A and D correct; the back-translation changed logical markers or entities,translation,manual override,"Fails in both B and C while A and D are correct. The back-translation ('Whenever Ewi was about to eat those watching nearby... Ewi was a man-eater') shares nothing with the English modus-tollens problem. This Cherokee item was independently rated lowest confidence in Week 3 before any grading. Not a scoring error (see results/scoring_dispute_evidence.csv). Re-sampling: C was wrong in 3/3 fresh runs (each back-translation is a different unrelated story: deer feeding, a guest, a big eater), so the C failure is stable. B was wrong in 1 of 3 fresh runs (2 of 4 samples including the original), so B's failure on this item is not deterministic.",broken,"no conditional, no negated premise, unrelated story"
cond_05,conditional,denying_the_antecedent_fallacy,"If Leo presses the button, the machine starts. Leo does not press the button. [Query] The machine does not start.","ᎢᏳᏃ ᎵᏲ ᎤᏂᏴᏍᎨᏍᏗ ᎦᏙᎯᏛ, ᏗᎦᏙᎯᏛ ᎠᎴᏂᏍᎦ. ᎵᏲ ᎥᏝ ᏳᏂᏴᏍᎦ ᎦᏙᎯᏛ. ᏗᎦᏙᎯᏛ ᎥᏝ ᏳᎴᏂᏍᎦ.",unknown,unknown,unknown,exact,True,unknown,unknown,exact,True,unknown,unknown,exact,True,unknown,unknown,exact,True,"If Leo catches the groundhog, the groundhog leaves. Leo does not catch the groundhog. The groundhog does not leave.",,False,2 vs 2,False,1 vs 1,False,0 vs 0,False,0 vs 0,False,Leo,Leo,none,,none,auto rule,,skeleton_only,button/machine -> groundhog; both negations intact
quant_01,quantifier,universal_instantiation,All painters are artists. Maria is a painter. [Query] Maria is an artist.,ᏂᎦᏛ ᏗᏓᏍᏉᏗᏍᎩ ᏗᎪᏪᎵᏍᎩ ᏂᎦᎵᏍᏗᎭ. ᎺᎵᎠ ᎠᏓᏍᏉᏗᏍᎩ. ᎺᎵᎠ ᎠᎪᏪᎵᏍᎩ.,entailed,entailed,entailed,exact,True,entailed,entailed,exact,True,entailed,entailed,exact,True,entailed,entailed,exact,True,All students are writers. Maria is a student. Maria is a writer.,,False,0 vs 0,False,0 vs 0,False,1 vs 1,False,0 vs 0,False,Maria,Maria,none,,none,auto rule,,skeleton_only,Maria kept; painters/artists -> students/writers
quant_02,quantifier,universal_negative,No cats are reptiles. Felix is a cat. [Query] Felix is a reptile.,ᎥᏝ ᎦᎵᏍᎩᏂ ᎠᏂᏍᏉᏓ ᎨᏒ ᏱᎩ. ᏈᎵᎩᏏ ᎦᎵᏍᎩᏂ ᎨᏐᎢ. ᏈᎵᎩᏏ ᎠᏍᏉᏓ ᎨᏐᎢ.,contradicted,contradicted,contradicted,exact,True,contradicted,contradicted,exact,True,contradicted,contradicted,exact,True,contradicted,contradicted,exact,True,No governors are soldiers. Felix is a governor. Felix is a soldier.,,False,1 vs 1,False,0 vs 0,False,0 vs 0,False,0 vs 0,False,Felix,Felix,none,,none,auto rule,,skeleton_only,Felix kept; cats/reptiles -> governors/soldiers; universal negative intact
quant_03,quantifier,valid_particular_syllogism,All teachers are employees. Some teachers are musicians. [Query] Some musicians are employees.,ᏂᎦᏛ ᏗᏕᏲᎲᏍᎩ ᎪᎱᏍᏗ ᏗᎾᎸᏫᏍᏓᏁᎯ ᏂᎦᎵᏍᏗᎭ. ᎢᎦᏛ ᏗᏕᏲᎲᏍᎩ ᏗᏂᏃᎩᏍᎩ ᎨᏐᎢ. ᎢᎦᏛ ᏗᏂᏃᎩᏍᎩ ᏗᎾᎸᏫᏍᏓᏁᎯ ᎨᏐᎢ.,entailed,entailed,entailed,exact,True,entailed,entailed,exact,True,entailed,entailed,exact,True,entailed,entailed,exact,True,All teachers are workers of some kind. Some teachers are singers. Some singers are workers.,,False,0 vs 0,False,0 vs 0,True,3 vs 4,False,0 vs 0,False,,,none,,none,auto rule,,close,"teachers kept; employees->workers, musicians->singers"
quant_04,quantifier,undistributed_middle_fallacy,Some students are athletes. Some students are musicians. [Query] Some athletes are musicians.,ᎢᎦᏛ ᏗᎦᎾᏄᎪᏫᏍᎩ ᎠᏂᏨᏂᏗᏍᎩ ᎨᏐᎢ. ᎢᎦᏛ ᏗᎦᎾᏄᎪᏫᏍᎩ ᏗᏂᏃᎩᏍᎩ ᎨᏐᎢ. ᎢᎦᏛ ᎠᏂᏨᏂᏗᏍᎩ ᏗᏂᏃᎩᏍᎩ ᎨᏐᎢ.,unknown,unknown,unknown,exact,True,unknown,unknown,exact,True,unknown,unknown,exact,True,unknown,unknown,exact,True,Some performers are dancers. Some performers are singers. Some dancers are singers.,,False,0 vs 0,False,0 vs 0,False,3 vs 3,False,0 vs 0,False,,,none,,none,auto rule,,skeleton_only,students/athletes/musicians -> performers/dancers/singers; shared-subject existential pattern intact
quant_05,quantifier,valid_particular_syllogism,No doctors are pilots. Some doctors are writers. [Query] Some writers are not pilots.,ᎥᏝ ᏗᏓᏅᏫᏍᎩ ᏗᎦᎸᏔᏂᏙᎯ ᎨᏒ ᏱᎩ. ᎢᎦᏛ ᏗᏓᏅᏫᏍᎩ ᏗᎪᏪᎵᏍᎩ ᎨᏐᎢ. ᎢᎦᏛ ᏗᎪᏪᎵᏍᎩ ᎥᏝ ᏗᎦᎸᏔᏂᏙᎯ ᏱᎩ.,entailed,entailed,entailed,exact,True,entailed,entailed,exact,True,entailed,entailed,exact,True,entailed,entailed,exact,True,No doctors are pilots. Some doctors are writers. Some writers are not pilots.,,False,2 vs 2,False,0 vs 0,False,2 vs 2,False,0 vs 0,False,,,none,,none,auto rule,,exact,the only fully faithful back-translation
spat_01,spatial,transitivity,The apple is left of the book. The book is left of the cup. [Query] The apple is left of the cup.,ᏔᎦᎾᏫ ᎾᎿ ᎣᏓᎸ ᎠᏢᏗᏍᎪ ᎠᏫᏰᏟ. ᎠᏫᏰᏟ ᎾᎿ ᎣᏓᎸ ᎠᏢᏗᏍᎪ ᎠᎵᏍᏓᏴᏗ. ᏔᎦᎾᏫ ᎾᎿ ᎣᏓᎸ ᎠᏢᏗᏍᎪ ᎠᎵᏍᏓᏴᏗ.,entailed,entailed,entailed,exact,True,unknown,unknown,exact,False,unknown,unknown,exact,False,entailed,entailed,exact,True,Taganawi there on the mountain makes Awiyeli. Awiyeli there on the mountain makes food. Taganawi there on the mountain makes food.,,False,0 vs 0,False,0 vs 0,False,0 vs 0,True,3 vs 0,True,,"Awiyeli,Taganawi",translation,A and D correct; the back-translation changed logical markers or entities,translation,manual override,"Fails in both B and C while A and D are correct. The 'left of' relation does not survive: the back-translation has no spatial relation at all ('there on the mountain makes...'), so there is no transitive chain to reason over. Re-sampling: B wrong in 1/3 fresh runs, C wrong in 2/3; the back-translations vary (hunter/game, farmer/animals) but never contain a left/right relation, so success or failure depends on whether the model happens to treat the invented 'X produces Y' chain as transitive.",broken,relation lost
spat_02,spatial,transitivity,Mia is north of Noah. Noah is north of Liam. [Query] Mia is north of Liam.,ᎹᏯ ᏧᏴᏢ ᎢᏗᏢ ᎡᎭ ᏃᏩᏱ. ᏃᏩ ᏧᏴᏢ ᎢᏗᏢ ᎡᎭ ᎳᎥᎻ. ᎹᏯ ᏧᏴᏢ ᎢᏗᏢ ᎡᎭ ᎳᎥᎻ.,entailed,entailed,entailed,exact,True,entailed,entailed,exact,True,unknown,unknown,exact,False,entailed,entailed,exact,True,Maya is north of Norway. Noah is north of Lavmi. Maya is north of Lavmi.,,False,0 vs 0,False,0 vs 0,False,0 vs 0,False,3 vs 3,True,"Liam,Mia,Noah","Lavmi,Maya,Noah,Norway",translation,A and D correct; the back-translation changed logical markers or entities,translation,manual override,"C wrong in the original run only. The Cherokee text writes the second entity inconsistently (a locative-looking suffix in the first sentence, bare in the second). Original back-translation read the first as 'Norway' ('Maya is north of Norway. Noah is north of Lavmi...'), which breaks the chain, so 'unknown' was a valid answer to that text. Re-sampling: 2 of 3 fresh back-translations read the name as 'Noah' and answered entailed, so this error is unstable; the underlying defect is the inconsistent entity form in the Cherokee candidate.",broken,Noah->Norway breaks the chain
spat_03,spatial,converse_relation,The chair is behind the desk. [Query] The desk is in front of the chair.,ᎢᎦᏍᏗ ᎣᏂ ᎡᎭ ᏓᎦᏂᏢᏗᏱ. ᏓᎦᏂᏢᏗᏱ ᎢᎬᏱᏢ ᎡᎭ ᎢᎦᏍᏗ.,entailed,entailed,entailed,exact,True,entailed,entailed,exact,True,contradicted,contradicted,exact,False,entailed,entailed,exact,True,A little way behind is where I will turn. The place where I will turn is a little way ahead.,,False,0 vs 0,False,0 vs 0,False,0 vs 0,True,2 vs 1,False,,,translation,A and D correct; the back-translation changed logical markers or entities,translation,manual override,"C wrong in the original run only. The original back-translation ('A little way behind is where I will turn. The place where I will turn is a little way ahead.') keeps a behind/ahead relation but loses both objects (chair, desk). Re-sampling: 0 of 3 fresh runs were wrong (all answered entailed), although those back-translations are even further from the source ('My turn is a little later...'), so the correct answers there are not evidence of recovered meaning. Sampling noise contributes to this error.",broken,objects lost
